order_id,customer_id,category,order_date,quantity,price,discount,country
ORD000001,238,Toys,2024-10-30,7,225.82,0.15,FR
ORD000002,62,Sports,2023-11-15,6,360.91,0.12,ES
ORD000003,394,Toys,2024-03-04,1,245.52,0.01,ES
ORD000004,324,Clothing,2024-05-13,2,79.66,0.24,BR
ORD000005,402,Home & Garden,2023-03-26,7,365.43,0.36,ES
ORD000006,352,Electronics,2024-07-15,10,267.96,0.2,BR
ORD000007,35,Clothing,2023-01-11,6,385.21,0.12,JP
ORD000008,53,Sports,2024-12-17,4,135.31,0.12,MX
ORD000009,142,Toys,2024-02-19,4,491.58,0.1,US
ORD000010,103,Home & Garden,2023-05-03,8,85.1,0.18,US
ORD000011,261,Automotive,2024-07-26,4,482.73,0.02,SG
ORD000012,497,Home & Garden,2024-09-08,6,49.57,0.09,MX
ORD000013,256,Beauty,2023-05-30,9,135.94,0.38,US
ORD000014,170,Home & Garden,2023-01-31,8,75.5,0.18,SE
ORD000015,379,Automotive,2024-01-18,10,413.21,0.02,JP
ORD000016,243,Automotive,2024-04-12,8,349.86,0.0,IN
ORD000017,460,Clothing,2023-05-03,4,257.72,0.39,FR
ORD000018,217,Automotive,2024-02-14,1,469.89,0.31,IT
ORD000019,359,Toys,2024-01-20,5,93.96,0.11,JP
ORD000020,41,Beauty,2024-09-22,4,185.2,0.13,SG
ORD000021,241,Books,2024-08-18,5,10.72,0.3,UK
ORD000022,216,Electronics,2023-04-07,10,214.29,0.26,ES
ORD000023,296,Books,2024-05-31,7,31.22,0.26,US
ORD000024,384,Clothing,2024-01-03,2,111.91,0.15,MX
ORD000025,2,Books,2023-12-07,3,102.68,0.34,NL
ORD000026,153,Home & Garden,2023-04-29,2,285.36,0.28,BR
ORD000027,226,Toys,2024-06-29,4,148.8,0.29,FR
ORD000028,325,Clothing,2024-09-25,10,46.51,0.08,JP
ORD000029,57,Beauty,2023-05-31,2,337.01,0.12,FR
ORD000030,352,Clothing,2023-01-22,8,88.42,0.14,JP
ORD000031,366,Sports,2024-03-20,1,118.63,0.12,US
ORD000032,269,Beauty,2024-12-17,2,280.3,0.08,SG
ORD000033,391,Toys,2024-05-10,2,488.85,0.27,NL
ORD000034,258,Home & Garden,2023-07-04,5,412.23,0.26,US
ORD000035,500,Books,2024-09-29,1,409.66,0.22,BR
ORD000036,26,Toys,2024-01-28,1,329.01,0.25,JP
ORD000037,232,Home & Garden,2024-01-08,3,152.82,0.39,NL
ORD000038,362,Beauty,2023-02-11,8,296.69,0.03,AU
ORD000039,44,Clothing,2023-02-14,4,400.16,0.27,IN
ORD000040,334,Beauty,2024-02-27,1,94.56,0.32,AU
ORD000041,70,Electronics,2024-08-11,1,478.08,0.17,MX
ORD000042,301,Automotive,2024-07-03,1,406.96,0.12,AU
ORD000043,454,Home & Garden,2024-11-17,10,289.58,0.22,JP
ORD000044,122,Electronics,2024-01-03,5,247.43,0.3,US
ORD000045,98,Automotive,2024-03-29,2,375.41,0.35,ES
ORD000046,307,Clothing,2024-04-02,2,479.37,0.26,DE
ORD000047,182,Automotive,2023-10-05,9,130.49,0.26,AU
ORD000048,397,Toys,2023-01-03,9,50.97,0.36,IT
ORD000049,67,Automotive,2024-09-04,8,320.84,0.21,UK
ORD000050,395,Toys,2023-02-18,6,178.74,0.14,MX
ORD000051,410,Books,2024-12-01,8,147.77,0.08,FR
ORD000052,375,Home & Garden,2024-09-08,5,221.15,0.05,SG
ORD000053,151,Toys,2023-03-17,3,311.74,0.15,BR
ORD000054,363,Home & Garden,2023-03-31,5,100.26,0.01,BR
ORD000055,187,Automotive,2024-06-22,10,237.14,0.26,CA
ORD000056,214,Sports,2024-02-01,4,236.69,0.35,NL
ORD000057,372,Electronics,2024-04-18,3,117.12,0.26,DE
ORD000058,464,Electronics,2023-07-31,7,6.66,0.39,MX
ORD000059,299,Home & Garden,2024-10-07,1,107.58,0.37,SE
ORD000060,489,Electronics,2024-02-01,6,18.82,0.24,JP
ORD000061,298,Books,2024-02-17,2,23.31,0.05,CA
ORD000062,419,Books,2024-12-24,1,289.55,0.08,ES
ORD000063,26,Beauty,2024-07-17,4,495.09,0.14,US
ORD000064,99,Automotive,2024-05-17,8,168.93,0.07,DE
ORD000065,110,Sports,2024-09-24,1,418.0,0.17,BR
ORD000066,160,Beauty,2024-12-24,1,201.63,0.4,CA
ORD000067,138,Automotive,2024-08-16,9,331.73,0.4,ES
ORD000068,350,Automotive,2024-08-11,10,241.61,0.3,UK
ORD000069,498,Electronics,2023-05-20,6,491.13,0.25,DE
ORD000070,87,Home & Garden,2024-09-29,5,319.65,0.34,ES
ORD000071,113,Books,2024-10-05,10,283.24,0.38,JP
ORD000072,464,Books,2024-03-11,3,178.42,0.34,ES
ORD000073,187,Sports,2024-04-19,6,408.39,0.26,UK
ORD000074,350,Electronics,2024-03-31,1,497.91,0.19,JP
ORD000075,97,Clothing,2024-02-02,1,141.47,0.15,DE
ORD000076,450,Clothing,2023-05-14,4,70.85,0.18,NL
ORD000077,237,Automotive,2024-04-25,6,485.91,0.06,FR
ORD000078,437,Automotive,2023-10-04,1,355.91,0.11,IT
ORD000079,1,Toys,2024-01-27,1,35.04,0.31,ES
ORD000080,273,Home & Garden,2024-10-19,2,106.48,0.26,IT
ORD000081,402,Sports,2023-03-21,10,380.79,0.13,DE
ORD000082,72,Toys,2024-11-28,3,457.6,0.21,DE
ORD000083,442,Clothing,2024-02-19,7,37.9,0.15,UK
ORD000084,392,Clothing,2024-11-24,10,63.39,0.1,NL
ORD000085,246,Beauty,2023-05-27,4,70.51,0.04,AU
ORD000086,457,Automotive,2023-02-09,2,465.7,0.21,DE
ORD000087,423,Automotive,2024-03-29,7,465.86,0.25,SG
ORD000088,91,Books,2024-01-20,4,314.26,0.0,FR
ORD000089,3,Beauty,2024-06-20,8,209.86,0.02,BR
ORD000090,121,Toys,2024-03-15,10,282.48,0.07,IT
ORD000091,219,Sports,2024-01-11,10,324.69,0.3,JP
ORD000092,342,Clothing,2024-10-20,4,425.05,0.29,JP
ORD000093,86,Toys,2023-08-25,7,337.21,0.17,ES
ORD000094,149,Electronics,2023-07-18,5,342.52,0.4,UK
ORD000095,196,Sports,2024-08-09,7,486.4,0.2,JP
ORD000096,263,Books,2023-09-14,3,87.88,0.26,SG
ORD000097,212,Electronics,2024-02-16,5,378.25,0.21,IT
ORD000098,215,Books,2024-03-24,2,472.55,0.37,JP
ORD000099,340,Beauty,2023-08-03,3,95.96,0.05,US
ORD000100,334,Beauty,2023-09-17,3,191.15,0.02,IN
ORD000101,402,Clothing,2023-01-30,4,189.54,0.22,CA
ORD000102,477,Toys,2023-07-24,2,429.93,0.26,FR
ORD000103,471,Books,2023-08-27,7,299.96,0.34,IN
ORD000104,429,Home & Garden,2023-01-13,10,316.45,0.2,FR
ORD000105,150,Automotive,2024-08-23,9,302.96,0.07,CA
ORD000106,339,Sports,2024-10-08,8,222.94,0.14,JP
ORD000107,345,Toys,2023-05-10,7,95.89,0.31,US
ORD000108,340,Automotive,2024-03-17,4,28.44,0.11,UK
ORD000109,419,Sports,2023-11-19,10,144.15,0.34,JP
ORD000110,390,Home & Garden,2023-04-04,6,490.16,0.05,FR
ORD000111,201,Books,2023-01-19,7,409.13,0.17,FR
ORD000112,111,Sports,2024-04-29,1,109.1,0.28,CA
ORD000113,281,Beauty,2023-02-28,7,145.86,0.14,IN
ORD000114,296,Automotive,2024-10-12,2,264.75,0.27,UK
ORD000115,344,Sports,2024-07-30,1,333.92,0.39,NL
