employee_id,age,department,salary,performance_score,attrition,years_at_company
EMP0001,61,Engineering,106990.56,3.4,No,1
EMP0002,22,HR,73522.38,2.3,No,12
EMP0003,45,Marketing,104787.42,4.1,Yes,25
EMP0004,46,Engineering,125460.17,3.0,No,15
EMP0005,55,Operations,70957.56,3.6,No,12
EMP0006,46,Operations,71421.61,3.4,No,5
EMP0007,27,Support,71075.37,2.4,No,21
EMP0008,36,Operations,81389.86,3.3,No,10
EMP0009,29,Sales,123895.35,2.7,No,30
EMP0010,42,Engineering,100877.26,3.0,No,4
EMP0011,62,Legal,131477.05,3.8,No,24
EMP0012,39,Engineering,147489.14,4.0,No,21
EMP0013,38,HR,72082.29,3.5,No,11
EMP0014,42,HR,70164.99,2.9,No,12
EMP0015,29,Sales,120647.86,3.0,No,29
EMP0016,59,Operations,93346.83,3.0,No,22
EMP0017,51,Legal,93216.6,2.0,No,1
EMP0018,53,Support,80837.53,3.6,No,17
EMP0019,37,HR,82265.1,2.3,No,22
EMP0020,34,HR,74662.69,3.6,No,11
EMP0021,42,Sales,96058.66,2.5,No,21
EMP0022,32,Engineering,132775.92,2.7,No,19
EMP0023,22,Legal,105234.98,4.0,No,10
EMP0024,53,Legal,84135.31,3.5,No,0
EMP0025,59,Support,56701.39,2.2,No,1
EMP0026,31,Engineering,134951.65,3.1,No,21
EMP0027,49,HR,85501.84,3.7,No,24
EMP0028,61,Operations,73348.19,3.1,No,11
EMP0029,54,Support,67599.04,3.3,No,14
EMP0030,58,HR,72246.13,3.7,No,15
EMP0031,61,Sales,112017.42,3.5,Yes,27
EMP0032,33,Support,75337.78,2.8,No,16
EMP0033,25,Engineering,130635.3,3.5,No,17
EMP0034,57,Operations,83983.37,3.3,No,17
EMP0035,56,Marketing,74811.7,4.7,Yes,4
EMP0036,30,Engineering,128642.12,3.4,No,21
EMP0037,61,Finance,133281.42,3.6,No,28
EMP0038,23,Marketing,70445.75,3.7,No,3
EMP0039,38,HR,59283.24,3.3,No,2
EMP0040,64,Sales,96718.58,3.0,No,15
EMP0041,37,Operations,85012.63,3.8,No,23
EMP0042,55,Marketing,64790.94,3.8,No,2
EMP0043,23,Sales,99792.09,5.0,No,23
EMP0044,43,HR,68155.96,4.0,Yes,7
EMP0045,56,Sales,85696.69,4.0,No,5
EMP0046,59,Finance,97271.3,4.0,No,5
EMP0047,41,Finance,112726.56,3.0,No,16
EMP0048,25,Legal,122690.82,2.6,No,18
EMP0049,45,Support,66501.22,2.8,No,14
EMP0050,54,Engineering,136059.12,4.0,No,18
EMP0051,41,Engineering,131521.56,4.5,No,24
EMP0052,64,HR,96857.79,4.0,No,25
EMP0053,35,Engineering,134259.03,3.4,No,22
EMP0054,58,Legal,121314.95,4.7,No,16
EMP0055,55,Legal,103338.88,3.2,No,6
EMP0056,40,HR,94186.22,2.7,No,23
EMP0057,26,Support,80718.24,3.7,Yes,20
EMP0058,37,Finance,124044.82,4.4,No,27
EMP0059,55,Finance,127427.22,2.9,No,22
EMP0060,61,Legal,96880.73,2.3,No,4
EMP0061,42,Finance,111595.72,3.5,No,17
EMP0062,34,Operations,103768.81,4.0,No,22
EMP0063,55,Sales,118709.56,1.4,No,30
EMP0064,63,Finance,99913.98,4.2,No,10
EMP0065,28,Legal,141586.56,2.5,No,26
EMP0066,36,Support,60089.71,4.0,No,8
EMP0067,56,Sales,85675.58,2.1,No,11
EMP0068,27,Engineering,147069.56,2.5,No,29
EMP0069,64,Finance,95022.82,3.9,No,5
EMP0070,32,Engineering,103330.64,4.4,No,6
EMP0071,43,Operations,98277.14,3.5,No,25
EMP0072,44,HR,101155.08,5.0,No,28
EMP0073,38,Legal,95952.56,2.8,No,3
EMP0074,27,Sales,117882.51,2.8,No,25
EMP0075,23,Engineering,129266.03,3.3,No,18
EMP0076,38,Sales,117625.19,3.3,Yes,27
EMP0077,33,Engineering,128381.48,3.7,No,15
EMP0078,61,Sales,105546.51,3.0,No,18
EMP0079,51,Legal,112460.52,3.9,Yes,7
EMP0080,26,Operations,79593.31,3.9,No,18
EMP0081,55,Finance,106725.82,4.6,No,12
EMP0082,49,HR,76320.66,3.2,No,12
EMP0083,27,Sales,84077.17,3.7,No,8
EMP0084,39,Legal,109613.0,3.9,No,12
EMP0085,54,Support,54482.72,3.5,Yes,5
EMP0086,50,Marketing,97862.06,3.4,Yes,26
EMP0087,47,Support,64966.92,2.1,No,12
EMP0088,43,Finance,110070.08,3.6,No,12
EMP0089,52,Marketing,106331.52,3.9,Yes,30
EMP0090,60,Sales,91957.46,3.5,Yes,15
EMP0091,29,Finance,117209.64,3.0,No,21
EMP0092,39,Engineering,147028.25,2.3,No,30
EMP0093,59,Marketing,102179.28,3.8,No,26
EMP0094,44,Operations,79716.08,3.5,No,10
EMP0095,29,HR,88126.73,4.5,No,16
EMP0096,27,Sales,102039.48,2.5,No,25
EMP0097,54,Sales,93448.08,3.2,No,15
EMP0098,43,Operations,81290.68,2.6,No,8
EMP0099,56,Legal,112905.81,4.2,Yes,16
EMP0100,27,Operations,71335.08,4.4,No,0
EMP0101,48,Sales,108685.23,4.8,No,27
EMP0102,47,Operations,91956.69,3.9,No,18
EMP0103,42,Marketing,76429.67,4.1,No,7
EMP0104,40,Finance,111093.74,3.8,No,14
EMP0105,33,Finance,93045.2,3.9,Yes,0
EMP0106,56,Support,76352.93,3.5,No,24
EMP0107,36,Legal,123782.5,3.9,No,16
EMP0108,40,Engineering,96373.19,5.0,No,0
EMP0109,59,Engineering,117669.9,3.7,No,14
EMP0110,49,Support,53352.06,3.5,No,2
EMP0111,23,Marketing,83279.48,3.6,Yes,12
EMP0112,24,Engineering,137340.95,3.4,No,26
EMP0113,45,Sales,103095.19,3.7,No,20
EMP0114,53,HR,82649.86,3.4,Yes,14
EMP0115,42,Support,71661.95,4.3,No,15
EMP0116,64,Support,74748.95,4.2,No,15
EMP0117,59,Operations,73669.63,5.0,No,3
EMP0118,41,Marketing,73144.87,3.5,No,6
EMP0119,32,Operations,95549.0,3.7,No,25
EMP0120,22,Legal,144593.79,3.7,No,28
EMP0121,23,HR,68908.54,3.6,No,4
EMP0122,48,Finance,132510.87,4.3,No,28
EMP0123,36,HR,57626.4,2.4,No,0
EMP0124,28,Legal,116146.41,3.8,No,16
EMP0125,25,Finance,130414.05,4.9,No,25
EMP0126,42,Engineering,96645.76,4.5,No,6
EMP0127,47,Legal,130500.15,4.4,No,29
EMP0128,23,Finance,139466.89,4.1,No,30
EMP0129,40,HR,75452.6,3.1,No,13
EMP0130,41,Sales,113222.69,3.0,No,27
EMP0131,24,Operations,75483.36,3.0,No,2
EMP0132,60,Engineering,120334.67,2.7,No,16
EMP0133,32,Sales,76612.03,4.2,No,9
EMP0134,27,Operations,88318.01,4.5,No,19
EMP0135,27,Marketing,74096.0,3.8,No,7
EMP0136,43,Operations,81773.2,4.1,No,13
EMP0137,53,Marketing,100610.16,3.7,No,22
EMP0138,33,Operations,74433.47,3.9,Yes,6
EMP0139,55,Operations,99031.26,2.0,No,26
EMP0140,33,Operations,97590.79,3.7,No,21
EMP0141,30,Operations,77453.5,3.2,No,7
EMP0142,50,Legal,125093.0,3.5,No,20
EMP0143,56,Marketing,83416.24,3.7,No,9
EMP0144,54,HR,74111.93,3.0,Yes,16
EMP0145,46,Engineering,134518.74,2.7,No,18
EMP0146,60,Marketing,102110.95,3.0,No,25
EMP0147,59,HR,68396.6,2.5,No,10
EMP0148,34,Legal,113116.81,2.7,No,14
EMP0149,49,Support,70707.7,2.8,No,13
EMP0150,25,Operations,94961.7,2.5,No,26
EMP0151,25,Sales,111492.99,3.9,No,26
EMP0152,41,Sales,85033.88,2.9,No,6
EMP0153,52,Finance,90222.19,2.2,Yes,3
EMP0154,47,HR,93637.03,3.2,No,29
EMP0155,29,Support,56880.48,2.7,No,5
EMP0156,54,Sales,73593.04,4.5,No,6
EMP0157,48,Finance,87656.72,3.6,No,3
EMP0158,55,Legal,91663.85,2.5,No,4
EMP0159,48,HR,63005.45,3.9,No,1
EMP0160,59,Sales,91573.44,3.6,Yes,18
