date,region,product,units_sold,revenue
2022-01-01,North,Widget A,41,1229.59
2022-01-01,North,Widget B,21,1049.79
2022-01-01,North,Gadget Pro,48,4799.52
2022-01-01,North,Gadget Lite,51,3059.49
2022-01-01,North,Service Pack,7,1049.93
2022-01-01,North,Bundle Deal,17,1359.83
2022-01-01,South,Widget A,38,1139.62
2022-01-01,South,Widget B,32,1599.68
2022-01-01,South,Gadget Pro,36,3599.64
2022-01-01,South,Gadget Lite,24,1439.76
2022-01-01,South,Service Pack,50,7499.5
2022-01-01,South,Bundle Deal,48,3839.52
2022-01-01,East,Widget A,38,1139.62
2022-01-01,East,Widget B,53,2649.47
2022-01-01,East,Gadget Pro,44,4399.56
2022-01-01,East,Gadget Lite,24,1439.76
2022-01-01,East,Service Pack,42,6299.58
2022-01-01,East,Bundle Deal,22,1759.78
2022-01-01,West,Widget A,50,1499.5
2022-01-01,West,Widget B,36,1799.64
2022-01-01,West,Gadget Pro,34,3399.66
2022-01-01,West,Gadget Lite,26,1559.74
2022-01-01,West,Service Pack,55,8249.45
2022-01-01,West,Bundle Deal,34,2719.66
2022-01-01,Central,Widget A,30,899.7
2022-01-01,Central,Widget B,31,1549.69
2022-01-01,Central,Gadget Pro,44,4399.56
2022-01-01,Central,Gadget Lite,42,2519.58
2022-01-01,Central,Service Pack,43,6449.57
2022-01-01,Central,Bundle Deal,43,3439.57
2022-01-02,North,Widget A,69,2069.31
2022-01-02,North,Widget B,30,1499.7
2022-01-02,North,Gadget Pro,29,2899.71
2022-01-02,North,Gadget Lite,24,1439.76
2022-01-02,North,Service Pack,46,6899.54
2022-01-02,North,Bundle Deal,53,4239.47
2022-01-02,South,Widget A,35,1049.65
2022-01-02,South,Widget B,24,1199.76
2022-01-02,South,Gadget Pro,24,2399.76
2022-01-02,South,Gadget Lite,46,2759.54
2022-01-02,South,Service Pack,48,7199.52
2022-01-02,South,Bundle Deal,45,3599.55
2022-01-02,East,Widget A,27,809.73
2022-01-02,East,Widget B,40,1999.6
2022-01-02,East,Gadget Pro,38,3799.62
2022-01-02,East,Gadget Lite,40,2399.6
2022-01-02,East,Service Pack,50,7499.5
2022-01-02,East,Bundle Deal,40,3199.6
2022-01-02,West,Widget A,47,1409.53
2022-01-02,West,Widget B,38,1899.62
2022-01-02,West,Gadget Pro,41,4099.59
2022-01-02,West,Gadget Lite,46,2759.54
2022-01-02,West,Service Pack,15,2249.85
2022-01-02,West,Bundle Deal,32,2559.68
2022-01-02,Central,Widget A,29,869.71
2022-01-02,Central,Widget B,27,1349.73
2022-01-02,Central,Gadget Pro,32,3199.68
2022-01-02,Central,Gadget Lite,59,3539.41
2022-01-02,Central,Service Pack,24,3599.76
2022-01-02,Central,Bundle Deal,51,4079.49
2022-01-03,North,Widget A,11,329.89
2022-01-03,North,Widget B,31,1549.69
2022-01-03,North,Gadget Pro,39,3899.61
2022-01-03,North,Gadget Lite,45,2699.55
2022-01-03,North,Service Pack,47,7049.53
2022-01-03,North,Bundle Deal,48,3839.52
2022-01-03,South,Widget A,31,929.69
2022-01-03,South,Widget B,30,1499.7
2022-01-03,South,Gadget Pro,49,4899.51
2022-01-03,South,Gadget Lite,34,2039.66
2022-01-03,South,Service Pack,17,2549.83
2022-01-03,South,Bundle Deal,20,1599.8
2022-01-03,East,Widget A,23,689.77
2022-01-03,East,Widget B,44,2199.56
2022-01-03,East,Gadget Pro,39,3899.61
2022-01-03,East,Gadget Lite,47,2819.53
2022-01-03,East,Service Pack,30,4499.7
2022-01-03,East,Bundle Deal,39,3119.61
2022-01-03,West,Widget A,46,1379.54
2022-01-03,West,Widget B,32,1599.68
2022-01-03,West,Gadget Pro,43,4299.57
2022-01-03,West,Gadget Lite,27,1619.73
2022-01-03,West,Service Pack,31,4649.69
2022-01-03,West,Bundle Deal,31,2479.69
2022-01-03,Central,Widget A,19,569.81
2022-01-03,Central,Widget B,44,2199.56
2022-01-03,Central,Gadget Pro,29,2899.71
2022-01-03,Central,Gadget Lite,37,2219.63
2022-01-03,Central,Service Pack,44,6599.56
2022-01-03,Central,Bundle Deal,43,3439.57
2022-01-04,North,Widget A,46,1379.54
2022-01-04,North,Widget B,35,1749.65
2022-01-04,North,Gadget Pro,30,2999.7
2022-01-04,North,Gadget Lite,35,2099.65
2022-01-04,North,Service Pack,11,1649.89
2022-01-04,North,Bundle Deal,15,1199.85
2022-01-04,South,Widget A,17,509.83
2022-01-04,South,Widget B,22,1099.78
2022-01-04,South,Gadget Pro,43,4299.57
2022-01-04,South,Gadget Lite,23,1379.77
2022-01-04,South,Service Pack,31,4649.69
2022-01-04,South,Bundle Deal,56,4479.44
2022-01-04,East,Widget A,31,929.69
2022-01-04,East,Widget B,48,2399.52
2022-01-04,East,Gadget Pro,23,2299.77
2022-01-04,East,Gadget Lite,33,1979.67
2022-01-04,East,Service Pack,22,3299.78
2022-01-04,East,Bundle Deal,31,2479.69
