date,ticker,open,high,low,close,volume
2023-01-02,AAPL,179.37,179.67,176.96,178.65,18622611
2023-01-03,AAPL,178.22,183.76,181.79,182.85,26723526
2023-01-04,AAPL,183.29,182.16,179.69,179.84,37877319
2023-01-05,AAPL,180.26,176.58,175.55,175.84,9292504
2023-01-06,AAPL,175.96,175.87,175.24,175.31,27213337
2023-01-09,AAPL,175.16,174.3,172.69,173.21,11530484
2023-01-10,AAPL,172.79,162.79,161.61,162.4,26343450
2023-01-11,AAPL,162.3,163.55,160.26,161.84,45079288
2023-01-12,AAPL,161.92,162.99,162.24,162.48,40244126
2023-01-13,AAPL,162.41,168.26,167.13,167.56,24529222
2023-01-16,AAPL,167.36,166.18,164.83,165.33,36690173
2023-01-17,AAPL,165.92,160.77,160.55,160.75,4339539
2023-01-18,AAPL,160.19,163.73,163.63,163.7,23540627
2023-01-19,AAPL,163.42,164.08,162.62,163.58,31273249
2023-01-20,AAPL,163.44,163.2,160.73,161.21,40541817
2023-01-23,AAPL,161.2,160.63,159.91,160.37,6318820
2023-01-24,AAPL,160.06,160.23,159.44,159.63,44294129
2023-01-25,AAPL,159.94,160.17,158.31,158.8,39769938
2023-01-26,AAPL,159.03,165.43,165.27,165.42,8264641
2023-01-27,AAPL,165.84,168.62,168.32,168.35,42819580
2023-01-30,AAPL,168.2,169.25,166.91,168.17,38629169
2023-01-31,AAPL,167.97,175.98,175.83,175.87,25898042
2023-02-01,AAPL,175.34,178.14,177.32,177.89,2776681
2023-02-02,AAPL,177.62,175.46,175.14,175.26,32721611
2023-02-03,AAPL,174.75,181.0,179.75,179.96,20595021
2023-02-06,AAPL,179.39,179.64,179.22,179.58,13342987
2023-02-07,AAPL,179.63,180.07,179.51,179.75,30929293
2023-02-08,AAPL,179.36,180.4,179.72,180.04,25754867
2023-02-09,AAPL,179.34,177.39,176.0,176.6,27167204
2023-02-10,AAPL,176.34,179.4,177.76,178.26,42437599
2023-02-13,AAPL,178.21,173.06,171.5,172.89,23505436
2023-02-14,AAPL,172.71,167.22,164.95,165.99,29968018
2023-02-15,AAPL,165.62,166.04,165.27,165.65,41748018
2023-02-16,AAPL,165.13,167.8,166.45,166.65,27870020
2023-02-17,AAPL,166.84,163.48,162.91,163.24,12428878
2023-02-20,AAPL,162.95,159.74,158.92,159.15,14934879
2023-02-21,AAPL,160.16,159.42,158.56,158.81,11417751
2023-02-22,AAPL,158.52,159.37,159.04,159.19,49495078
2023-02-23,AAPL,159.5,160.15,158.52,159.6,31543986
2023-02-24,AAPL,159.54,163.92,162.69,163.16,19357504
2023-02-27,AAPL,163.17,165.85,164.73,164.78,36109263
2023-02-28,AAPL,164.98,166.57,165.02,165.74,43562041
2023-03-01,AAPL,165.71,164.75,163.65,163.85,4282095
2023-03-02,AAPL,164.09,163.76,163.59,163.64,23628659
2023-03-03,AAPL,164.29,159.46,158.19,158.58,13500633
2023-03-06,AAPL,159.01,158.68,156.7,158.64,6856940
2023-03-07,AAPL,159.58,160.21,158.98,159.98,28729801
2023-03-08,AAPL,160.37,161.68,160.84,160.88,23802592
2023-03-09,AAPL,160.49,158.98,156.19,157.19,42328509
2023-03-10,AAPL,156.63,158.71,158.49,158.51,27410011
2023-03-13,AAPL,158.51,155.0,154.55,154.97,20839537
2023-03-14,AAPL,155.16,159.68,158.21,159.66,31377351
2023-03-15,AAPL,159.28,162.55,161.12,161.7,24760020
2023-03-16,AAPL,162.26,160.9,160.55,160.66,16053485
2023-03-17,AAPL,161.06,162.97,160.16,161.85,19035978
2023-03-20,AAPL,162.24,159.37,157.81,158.62,27629848
2023-03-21,AAPL,158.4,162.28,161.15,161.75,49488153
2023-03-22,AAPL,161.35,162.77,161.88,162.47,16419214
2023-03-23,AAPL,161.75,165.8,164.3,164.99,45074573
2023-03-24,AAPL,164.36,163.99,162.95,163.5,18473950
2023-03-27,AAPL,163.17,166.49,165.78,166.03,5541642
2023-03-28,AAPL,166.57,162.97,162.11,162.62,30107972
2023-03-29,AAPL,162.43,170.14,169.49,169.61,39034441
2023-03-30,AAPL,170.75,169.66,168.56,168.9,9795583
2023-03-31,AAPL,168.88,162.73,162.41,162.42,45030338
2023-04-03,AAPL,163.27,162.82,162.31,162.64,26331025
2023-04-04,AAPL,161.79,156.22,152.81,154.79,49044472
2023-04-05,AAPL,154.96,159.44,157.38,158.71,31751110
2023-04-06,AAPL,159.41,154.05,152.56,153.05,48947819
2023-04-07,AAPL,153.79,149.79,148.78,149.78,48577235
2023-04-10,AAPL,149.53,148.18,145.76,147.88,44796955
2023-04-11,AAPL,147.51,147.08,146.09,146.73,47502987
2023-04-12,AAPL,146.96,146.2,145.58,145.8,39307012
2023-04-13,AAPL,145.43,145.01,144.29,144.3,37445990
2023-04-14,AAPL,144.38,140.91,140.1,140.16,43872195
2023-04-17,AAPL,140.22,139.71,138.72,138.73,43252760
2023-04-18,AAPL,138.65,139.57,138.52,139.11,30936762
2023-04-19,AAPL,138.84,138.36,137.09,137.71,1823218
2023-04-20,AAPL,138.22,137.38,136.33,136.63,11492125
2023-04-21,AAPL,137.1,135.17,132.43,133.66,2002536
2023-04-24,AAPL,133.63,135.17,134.04,134.39,2475722
2023-04-25,AAPL,134.41,139.43,138.86,139.13,29614797
2023-04-26,AAPL,138.89,139.71,138.99,139.31,4317267
2023-04-27,AAPL,139.3,141.19,139.7,140.72,17336053
2023-04-28,AAPL,140.45,137.73,136.67,137.28,11869073
2023-05-01,AAPL,137.49,139.74,137.77,139.58,11687836
2023-05-02,AAPL,139.46,141.1,140.34,140.93,9963125
2023-05-03,AAPL,141.37,142.15,141.95,142.01,19542479
2023-05-04,AAPL,141.65,142.8,141.34,142.3,18243732
2023-05-05,AAPL,142.53,140.93,140.52,140.76,40764424
2023-05-08,AAPL,140.61,145.15,143.47,144.88,3156706
2023-05-09,AAPL,144.84,147.42,144.17,145.05,32402750
2023-05-10,AAPL,144.77,143.15,141.98,142.61,23757177
2023-05-11,AAPL,142.85,139.3,138.99,139.21,5052573
2023-05-12,AAPL,139.77,138.96,138.28,138.95,21790665
2023-05-15,AAPL,139.37,143.98,141.75,143.05,19696070
2023-05-16,AAPL,142.63,148.11,145.36,147.1,26937277
2023-05-17,AAPL,146.2,150.59,149.17,149.51,25190342
2023-05-18,AAPL,149.54,151.0,150.39,150.52,46767605
2023-05-19,AAPL,150.88,147.94,146.36,146.64,19309912
2023-05-22,AAPL,146.53,143.76,143.47,143.67,30176884
2023-05-23,AAPL,143.51,146.62,146.09,146.13,39688931
2023-05-24,AAPL,146.92,145.22,144.2,144.74,25467375
2023-05-25,AAPL,143.87,142.48,141.71,142.41,15751380
2023-05-26,AAPL,142.41,141.36,140.79,141.0,6447666
2023-05-29,AAPL,141.56,138.28,137.2,138.04,2757859
2023-05-30,AAPL,138.21,140.8,140.08,140.32,8630785
2023-05-31,AAPL,139.97,140.4,138.94,139.52,7356959
2023-06-01,AAPL,138.91,142.63,142.12,142.25,35272039
2023-06-02,AAPL,142.36,139.62,138.9,139.34,1360842
2023-06-05,AAPL,139.38,138.27,137.26,138.12,27154331
2023-06-06,AAPL,138.36,135.46,134.63,134.75,47587094
2023-06-07,AAPL,133.98,133.35,132.1,132.11,28039105
2023-06-08,AAPL,131.73,135.15,132.92,134.42,15068069
2023-06-09,AAPL,134.77,132.8,132.57,132.69,8734817
