transaction_id,store_id,product_id,category,amount,timestamp,payment_method
TXN0000001,42,30,Food,319.37,2023-06-04 18:17:15.403687477,card
TXN0000002,28,56,Furniture,272.92,2024-03-25 11:23:23.903886080,upi
TXN0000003,16,114,Furniture,130.14,2023-01-30 10:43:14.138264656,upi
TXN0000004,7,36,Beauty,235.06,2024-11-30 20:07:24.126828431,cash
TXN0000005,10,113,Clothing,37.68,2024-03-05 18:25:10.773720503,wallet
TXN0000006,21,38,Toys,212.44,2023-05-06 01:35:27.461276293,upi
TXN0000007,39,196,Automotive,231.62,2023-03-08 02:51:52.896328926,card
TXN0000008,42,98,Health,327.9,2024-05-22 04:44:39.534112214,cash
TXN0000009,42,77,Clothing,17.88,2024-06-22 10:38:49.970747232,card
TXN0000010,1,182,Automotive,339.39,2023-06-02 09:51:36.656646013,upi
TXN0000011,29,95,Toys,331.23,2024-11-22 16:46:51.630559206,wallet
TXN0000012,27,138,Clothing,11.4,2024-07-21 05:46:53.197204590,cash
TXN0000013,36,94,Beauty,182.96,2024-08-26 15:40:43.079649925,upi
TXN0000014,41,40,Books,183.47,2023-10-19 03:51:39.155941725,cash
TXN0000015,3,71,Health,209.59,2024-08-21 21:15:40.985569000,wallet
TXN0000016,35,9,Clothing,321.91,2023-08-23 09:37:29.395155430,card
TXN0000017,15,59,Health,183.43,2024-08-10 02:53:09.882380724,wallet
TXN0000018,37,16,Toys,437.78,2024-10-28 10:19:26.546704292,cash
TXN0000019,48,49,Sports,424.36,2024-09-02 12:16:50.249145746,card
TXN0000020,17,67,Furniture,315.65,2023-01-06 01:34:35.598919868,cash
TXN0000021,25,99,Clothing,136.17,2023-12-24 05:28:50.576428175,cash
TXN0000022,27,21,Beauty,315.61,2023-01-29 16:26:01.591408730,wallet
TXN0000023,18,36,Furniture,335.77,2024-07-29 20:09:50.137617350,card
TXN0000024,43,68,Furniture,167.96,2023-12-24 18:00:46.820323706,wallet
TXN0000025,47,101,Toys,190.14,2024-07-27 20:22:23.400664330,upi
TXN0000026,45,108,Furniture,196.66,2024-02-29 21:19:18.117079973,card
TXN0000027,38,177,Electronics,495.41,2023-02-06 11:16:37.063410044,cash
TXN0000028,26,121,Furniture,19.36,2024-06-07 16:22:18.343610525,upi
TXN0000029,44,120,Automotive,50.32,2024-04-07 22:39:29.017803192,cash
TXN0000030,6,136,Books,297.66,2023-11-27 13:05:32.278142929,wallet
TXN0000031,9,110,Electronics,328.66,2024-03-02 05:02:33.609739780,upi
TXN0000032,46,75,Clothing,393.38,2023-03-06 12:32:55.058769464,card
TXN0000033,48,70,Health,498.1,2024-02-25 22:20:15.159982681,card
