date,city,max_temp,min_temp,precipitation,humidity,wind_speed
2022-01-01,Mumbai,34.0,26.3,4.9,87,28.4
2022-01-01,London,6.2,-1.3,2.1,54,9.0
2022-01-01,New York,9.8,-0.1,0.5,86,10.4
2022-01-01,Tokyo,16.0,1.7,0.6,75,17.8
2022-01-01,Sydney,27.8,18.2,4.2,78,19.6
2022-01-02,Mumbai,34.3,25.2,1.3,66,24.3
2022-01-02,London,7.6,1.8,7.1,50,22.9
2022-01-02,New York,5.1,-1.2,1.8,89,20.3
2022-01-02,Tokyo,13.0,6.2,0.2,80,6.9
2022-01-02,Sydney,24.1,16.1,3.5,88,5.5
2022-01-03,Mumbai,34.2,29.2,0.4,75,2.7
2022-01-03,London,7.6,0.2,6.0,83,17.7
2022-01-03,New York,5.7,-3.8,1.0,71,43.5
2022-01-03,Tokyo,16.3,5.6,0.3,69,34.6
2022-01-03,Sydney,27.0,18.0,3.2,54,19.4
2022-01-04,Mumbai,35.6,26.4,3.1,42,17.7
2022-01-04,London,8.7,-4.8,2.0,50,12.6
2022-01-04,New York,5.1,-2.7,5.8,83,13.6
2022-01-04,Tokyo,13.8,6.0,7.6,74,7.9
2022-01-04,Sydney,28.9,19.5,1.8,87,30.8
2022-01-05,Mumbai,39.0,26.4,1.3,72,36.6
2022-01-05,London,7.0,2.1,5.2,55,20.0
2022-01-05,New York,3.4,-1.6,1.7,45,9.3
2022-01-05,Tokyo,13.5,9.5,3.0,82,22.2
2022-01-05,Sydney,28.1,17.2,0.2,70,21.6
2022-01-06,Mumbai,35.8,25.0,0.8,72,29.0
2022-01-06,London,3.1,-0.6,2.4,69,24.7
2022-01-06,New York,4.2,-2.7,18.4,65,6.8
2022-01-06,Tokyo,15.8,5.6,2.7,70,0.0
2022-01-06,Sydney,27.1,16.4,0.8,45,15.4
2022-01-07,Mumbai,38.6,26.5,7.9,44,16.8
2022-01-07,London,6.1,-0.7,2.9,71,8.4
2022-01-07,New York,5.2,-1.8,0.0,50,27.3
2022-01-07,Tokyo,13.0,5.9,4.2,70,32.6
2022-01-07,Sydney,27.0,18.1,2.6,54,9.9
2022-01-08,Mumbai,37.6,25.2,3.3,80,15.7
2022-01-08,London,4.4,-0.5,3.1,70,25.6
2022-01-08,New York,8.4,-3.8,1.1,66,17.4
2022-01-08,Tokyo,12.9,7.9,0.2,75,19.9
2022-01-08,Sydney,27.7,17.0,4.6,57,16.1
2022-01-09,Mumbai,37.0,25.6,1.5,74,17.6
2022-01-09,London,5.6,0.5,12.8,82,13.8
2022-01-09,New York,5.4,0.2,2.2,44,10.2
2022-01-09,Tokyo,14.8,5.0,0.3,83,19.9
2022-01-09,Sydney,29.9,17.6,0.6,71,24.8
2022-01-10,Mumbai,35.6,26.7,2.5,60,28.6
2022-01-10,London,8.0,1.5,0.4,70,5.0
2022-01-10,New York,3.9,-3.1,8.7,45,13.3
2022-01-10,Tokyo,12.3,5.3,5.8,65,8.5
2022-01-10,Sydney,26.4,14.6,7.5,76,15.5
2022-01-11,Mumbai,37.0,28.1,0.5,87,17.8
2022-01-11,London,8.2,-1.3,0.3,78,36.7
2022-01-11,New York,6.4,-2.9,3.4,88,23.5
2022-01-11,Tokyo,12.6,6.5,0.5,65,31.2
2022-01-11,Sydney,26.3,20.6,0.0,48,27.9
2022-01-12,Mumbai,32.6,23.6,0.4,48,22.4
2022-01-12,London,7.3,-1.8,0.5,62,15.3
2022-01-12,New York,8.9,-2.9,1.1,71,18.0
2022-01-12,Tokyo,15.1,3.1,2.6,44,13.9
2022-01-12,Sydney,24.4,19.4,0.2,82,14.7
2022-01-13,Mumbai,32.5,24.5,1.8,45,22.2
2022-01-13,London,7.0,-1.0,2.9,53,27.7
2022-01-13,New York,5.2,-2.8,1.4,85,15.7
2022-01-13,Tokyo,13.2,5.9,2.0,81,22.4
2022-01-13,Sydney,25.3,21.8,14.4,71,29.8
2022-01-14,Mumbai,36.7,26.4,3.9,85,18.3
2022-01-14,London,7.1,0.1,0.2,89,21.8
2022-01-14,New York,4.1,1.5,1.8,46,13.9
2022-01-14,Tokyo,17.1,3.4,4.1,60,23.7
2022-01-14,Sydney,26.9,19.3,2.5,72,8.0
2022-01-15,Mumbai,36.6,24.5,1.1,70,30.3
2022-01-15,London,6.5,0.2,0.1,83,20.5
2022-01-15,New York,7.5,-3.4,16.7,79,22.6
2022-01-15,Tokyo,14.6,4.9,2.8,59,23.2
2022-01-15,Sydney,28.0,16.9,0.9,71,19.5
2022-01-16,Mumbai,35.7,26.3,0.3,82,11.5
2022-01-16,London,7.6,-1.8,3.2,80,32.9
2022-01-16,New York,4.6,-1.5,6.3,42,14.5
2022-01-16,Tokyo,14.3,3.5,0.5,45,37.7
2022-01-16,Sydney,25.6,18.0,5.7,70,15.0
2022-01-17,Mumbai,33.4,25.3,0.8,45,21.3
2022-01-17,London,6.5,-1.6,5.7,78,25.5
2022-01-17,New York,3.3,-2.8,2.6,89,20.9
2022-01-17,Tokyo,13.7,3.0,3.6,52,20.6
2022-01-17,Sydney,25.8,19.3,6.5,79,9.7
2022-01-18,Mumbai,33.9,27.6,0.5,79,8.6
2022-01-18,London,5.7,1.5,5.9,56,12.2
2022-01-18,New York,5.9,-3.3,17.2,42,26.9
2022-01-18,Tokyo,12.7,3.1,1.6,40,18.2
2022-01-18,Sydney,30.1,19.0,0.9,58,22.0
2022-01-19,Mumbai,34.7,28.0,7.7,66,0.0
2022-01-19,London,8.3,-0.9,9.0,74,28.7
2022-01-19,New York,3.8,-1.4,1.1,73,3.6
2022-01-19,Tokyo,15.9,5.7,3.9,51,34.1
2022-01-19,Sydney,26.5,19.3,2.3,40,34.4
2022-01-20,Mumbai,36.0,28.8,0.6,84,14.9
2022-01-20,London,8.4,-1.0,7.9,46,18.6
2022-01-20,New York,7.0,-3.1,1.5,66,21.6
2022-01-20,Tokyo,15.8,5.0,2.2,75,20.5
2022-01-20,Sydney,26.0,18.4,0.9,64,33.1
2022-01-21,Mumbai,36.9,26.5,1.9,59,23.3
2022-01-21,London,5.2,2.1,1.5,62,8.1
2022-01-21,New York,4.1,-5.6,3.7,78,0.0
2022-01-21,Tokyo,15.3,6.4,1.0,61,19.0
2022-01-21,Sydney,29.6,17.9,4.0,56,23.0
2022-01-22,Mumbai,37.0,24.1,0.7,56,24.7
2022-01-22,London,5.5,-1.6,0.9,58,16.4
2022-01-22,New York,4.5,-3.6,0.2,87,24.5
2022-01-22,Tokyo,13.2,6.3,0.5,74,10.5
2022-01-22,Sydney,28.9,16.3,10.8,62,24.2
2022-01-23,Mumbai,34.4,27.3,2.6,48,26.5
2022-01-23,London,1.9,-1.6,0.2,44,17.8
2022-01-23,New York,6.9,-2.8,0.9,76,16.2
2022-01-23,Tokyo,11.0,6.7,1.9,80,9.6
2022-01-23,Sydney,24.5,20.9,3.1,85,13.7
2022-01-24,Mumbai,35.0,26.2,8.5,41,30.6
2022-01-24,London,5.5,-4.1,1.0,72,0.9
2022-01-24,New York,6.0,-1.4,1.0,57,8.5
2022-01-24,Tokyo,14.6,6.9,1.3,62,14.5
2022-01-24,Sydney,27.2,19.0,0.6,83,22.6
2022-01-25,Mumbai,32.3,22.9,8.9,54,33.1
2022-01-25,London,3.4,-3.3,0.5,78,28.7
2022-01-25,New York,6.0,-4.2,0.5,40,36.2
2022-01-25,Tokyo,15.6,3.9,10.3,48,14.2
2022-01-25,Sydney,24.9,18.5,2.1,76,15.1
2022-01-26,Mumbai,37.2,25.6,0.4,58,4.5
2022-01-26,London,7.7,-1.4,0.2,51,20.6
2022-01-26,New York,4.9,-2.3,0.4,71,23.1
2022-01-26,Tokyo,15.3,3.2,0.5,50,21.6
2022-01-26,Sydney,27.0,21.4,0.1,50,11.2
2022-01-27,Mumbai,39.4,24.7,1.9,78,18.2
2022-01-27,London,6.7,-0.7,0.1,61,13.5
2022-01-27,New York,8.1,0.2,2.2,80,4.9
2022-01-27,Tokyo,14.1,5.1,1.1,81,23.1
2022-01-27,Sydney,27.9,17.3,5.6,61,44.4
2022-01-28,Mumbai,34.6,25.3,1.4,78,25.0
2022-01-28,London,4.4,0.2,5.9,48,9.1
2022-01-28,New York,7.9,-2.0,1.6,74,12.9
2022-01-28,Tokyo,13.2,4.6,1.5,85,13.3
2022-01-28,Sydney,28.1,20.4,4.3,68,8.7
2022-01-29,Mumbai,36.0,25.7,0.4,57,22.7
2022-01-29,London,3.9,-1.3,4.5,42,21.6
2022-01-29,New York,6.6,-1.7,3.2,85,23.0
2022-01-29,Tokyo,14.0,4.9,5.7,69,16.7
2022-01-29,Sydney,24.3,17.2,11.7,56,35.7
2022-01-30,Mumbai,35.9,25.2,0.3,68,12.9
2022-01-30,London,9.3,-2.2,0.1,81,18.9
2022-01-30,New York,6.9,-2.1,10.1,80,16.5
2022-01-30,Tokyo,12.0,5.5,0.4,82,33.2
2022-01-30,Sydney,27.3,18.7,2.3,82,22.7
2022-01-31,Mumbai,36.2,25.9,0.7,74,20.1
2022-01-31,London,6.6,-1.6,0.3,85,22.8
2022-01-31,New York,6.1,2.6,4.6,51,20.7
2022-01-31,Tokyo,13.7,3.9,4.4,44,24.4
2022-01-31,Sydney,25.8,18.4,1.4,70,19.7
2022-02-01,Mumbai,37.9,31.5,4.5,71,0.0
2022-02-01,London,10.5,2.9,1.9,64,32.5
2022-02-01,New York,6.3,1.4,1.5,77,24.5
2022-02-01,Tokyo,19.7,12.0,6.0,69,16.3
2022-02-01,Sydney,23.3,16.2,2.4,73,19.2
2022-02-02,Mumbai,35.8,28.3,1.1,55,35.9
2022-02-02,London,9.7,1.3,1.5,76,22.3
2022-02-02,New York,9.4,1.6,6.7,86,19.9
2022-02-02,Tokyo,16.5,10.5,1.3,63,28.7
2022-02-02,Sydney,25.1,18.5,14.0,54,24.2
2022-02-03,Mumbai,36.1,28.1,1.6,43,19.0
2022-02-03,London,6.0,1.4,2.6,43,24.4
2022-02-03,New York,10.0,3.5,4.8,59,45.0
2022-02-03,Tokyo,18.8,12.1,3.1,70,26.6
2022-02-03,Sydney,24.2,19.9,1.8,53,33.6
2022-02-04,Mumbai,39.6,26.4,1.5,44,19.4
2022-02-04,London,11.4,1.6,5.6,41,15.3
2022-02-04,New York,11.7,3.9,8.1,45,36.3
2022-02-04,Tokyo,18.2,9.5,8.3,83,0.2
2022-02-04,Sydney,22.9,18.7,1.4,69,20.1
2022-02-05,Mumbai,37.4,26.8,0.5,75,2.3
2022-02-05,London,9.7,4.4,0.4,58,13.9
2022-02-05,New York,11.3,3.4,10.4,60,12.3
2022-02-05,Tokyo,20.2,10.1,3.0,40,19.5
2022-02-05,Sydney,23.0,16.9,0.4,72,13.5
2022-02-06,Mumbai,37.0,28.0,4.2,67,34.3
2022-02-06,London,8.7,1.1,8.3,49,31.9
2022-02-06,New York,9.9,3.6,4.6,51,8.1
2022-02-06,Tokyo,18.2,9.0,1.1,53,23.8
2022-02-06,Sydney,22.6,17.1,6.4,57,24.6
2022-02-07,Mumbai,36.8,29.1,2.0,81,39.0
2022-02-07,London,8.9,1.4,5.1,57,4.5
2022-02-07,New York,11.6,4.1,0.2,82,25.0
2022-02-07,Tokyo,17.1,8.1,0.4,88,14.7
2022-02-07,Sydney,24.2,18.8,2.5,52,14.9
2022-02-08,Mumbai,39.0,26.8,0.3,88,18.2
2022-02-08,London,8.5,3.8,4.3,67,8.5
2022-02-08,New York,7.4,-1.1,11.8,82,14.6
2022-02-08,Tokyo,20.1,8.9,1.9,71,46.7
2022-02-08,Sydney,20.8,14.9,2.3,57,9.7
2022-02-09,Mumbai,39.2,27.2,0.0,88,29.5
2022-02-09,London,9.3,2.0,3.2,48,20.9
2022-02-09,New York,14.5,1.5,1.1,54,14.7
2022-02-09,Tokyo,18.4,9.8,0.4,71,15.0
2022-02-09,Sydney,23.8,14.7,2.0,53,8.3
2022-02-10,Mumbai,36.8,26.8,4.0,77,22.2
2022-02-10,London,8.7,1.5,1.6,50,5.1
2022-02-10,New York,9.7,-1.1,0.3,59,29.2
2022-02-10,Tokyo,20.4,10.6,1.0,58,18.0
2022-02-10,Sydney,28.1,13.3,0.1,83,15.7
2022-02-11,Mumbai,38.6,25.9,3.8,59,17.8
